6096 279810834 23756443 247142902 23756443
6160 285769744 24279682 252413680 24279682
6224 291686819 24764915 257632746 24764915
6288 297770222 25299115 263013645 25299115
6352 303809657 25794391 268340643 25794391
6416 310017505 26339489 273831615 26339489
6480 316179323 26844834 279266568 26844834
6544 322511659 27400850 284867656 27400850
6608 328795783 27916218 290410487 27916218
6672 335252633 28483183 296121717 28483183
6736 341659084 29008575 301772447 29008575
6800 348240420 29586476 307593791 29586476
6864 354769224 30121899 313352446 30121899
6928 361475029 30710725 319283887 30710725
6992 368126174 31256177 325150455 31256177
7056 374956486 31855949 331192031 31855949
7120 381729957 32411441 337166497 32411441
