6096 59297334 10910649 23283499 10910649
6160 60553460 11134597 23778935 11134597
6224 61872202 11360963 24328952 11360963
6288 63055338 11589939 24735404 11589939
6352 64225675 11821806 25120927 11821806
6416 65755144 12104111 25863509 12104111
6480 67052385 12340630 26360393 12340630
6544 68381145 12578631 26880718 12578631
6608 69677809 12819601 27360796 12819601
6672 71038880 13062259 27897625 13062259
6736 72466635 13307324 28493096 13307324
6800 73746646 13555059 28932864 13555059
6864 75011884 13805727 29349714 13805727
6928 76664203 14110729 30152042 14110729
6992 78064460 14366010 30688391 14366010
7056 79497506 14622645 31249443 14622645
7120 80895183 14882380 31766960 14882380
