6096 50631897 7799061 14044013 7799061
6160 51665944 7960605 14305488 7960605
6224 52759790 8123791 14618704 8123791
6288 53814932 8288723 14885082 8288723
6352 54855742 8455463 15129028 8455463
6416 56007641 8623367 15476125 8623367
6480 57068896 8793331 15724426 8793331
6544 58264179 8964480 16098715 8964480
6608 59346703 9137865 16352115 9137865
6672 60545260 9312421 16713476 9312421
6736 61755630 9488765 17078675 9488765
6800 62869691 9666959 17339344 9666959
6864 63994080 9846893 17602337 9846893
6928 65396802 10082619 18142122 10082619
6992 66654488 10266087 18522337 10266087
7056 67811926 10451450 18794325 10451450
7120 69064078 10638208 19152792 10638208
