14096 2.1083986000 .4987592000
14160 2.0730588000 .4920480000
14224 2.1242294000 .4960472000
14288 2.1514894000 .5016510000
14352 2.2002964000 .5076928000
14416 2.2015498000 .5108952000
14480 2.2529958000 .5169812000
14544 2.2254726000 .5200094000
14608 2.2350766000 .5242120000
14672 2.2362836000 .5293404000
14736 2.2509400000 .5341602000
14800 2.2808454000 .5371712000
14864 2.2822324000 .5438358000
14928 2.2993370000 .5477636000
14992 2.3204436000 .5526746000
15056 2.3600072000 .5555066000
15120 2.3669836000 .5595664000
