6096 144997276 15980574 110113330 15980574
6160 148171003 16351735 112554509 16351735
6224 151335307 16680933 114973660 16680933
6288 154403984 17013761 117289799 17013761
6352 157437107 17352297 119562150 17352297
6416 160743471 17738981 122105367 17738981
6480 164038596 18081801 124624534 18081801
6544 167232829 18428239 127035438 18428239
6608 170388861 18780499 129399885 18780499
6672 173827844 19182701 132045122 19182701
6736 177253825 19539142 134664340 19539142
6800 180573649 19899216 137170044 19899216
6864 183852534 20265196 139626531 20265196
6928 187424135 20682891 142373787 20682891
6992 190980952 21052938 145093036 21052938
7056 194426347 21426652 147693520 21426652
7120 197828166 21806355 150242128 21806355
