2
18
2
18
2 0.000001 2569 643 0.000001 2,567 643
18 0.000052 2568 769 0.000056 2,567 769
1280 42.860146 2115978714 2049153 15.296307 263,537,319 619,450
1296 18.028296 2480571363 2100679 15.870165 273,504,006 632,291
1312 19.033052 2417332268 2152845 16.464023 283,731,071 647,104
1328 19.440240 2669052964 2205651 17.006584 294,234,458 663,976
1344 21.761739 2513579208 2259097 17.659886 304,957,657 679,156
1360 20.704085 2866767949 2313183 18.261378 315,986,458 696,562
1376 22.466268 2788676997 2367909 18.938679 327,237,757 712,033
1392 22.365601 3074105747 2423275 19.607256 338,781,271 729,349
1408 31.379098 2840870941 2479281 20.291854 350,547,456 745,708
1424 23.944036 3291205730 2535927 20.996698 362,650,708 763,561
1440 25.711820 3196233116 2593213 21.695492 374,976,881 780,220
1456 25.595722 3518296336 2651139 22.443065 387,616,402 798,772
1472 29.862492 3302317394 2709705 23.172161 400,482,840 815,032
1488 27.584014 3755753385 2768911 23.929714 413,705,184 835,138
1504 30.944280 3641671700 2828757 24.774164 427,150,132 851,251
1520 29.528390 4003348121 2889243 25.559024 440,936,124 871,840
1536 89.330125 3640699269 2950369 26.350216 455,435,384 935,127
