1 1000000 .0033748000
1 2000000 .0033696000
1 3000000 .0035510000
1 4000000 .0034920000
1 5000000 .0033546000
1 6000000 .0037782000
1 7000000 .0036472000
1 8000000 .0040850000
1 9000000 .0034274000
1 10000000 .0036300000
2 1000000 .0018864000
2 2000000 .0025226000
2 3000000 .0019392000
2 4000000 .0019138000
2 5000000 .0019354000
2 6000000 .0019134000
2 7000000 .0018634000
2 8000000 .0019436000
2 9000000 .0019954000
2 10000000 .0019080000
3 1000000 .0018916000
3 2000000 .0018792000
3 3000000 .0022490000
3 4000000 .0019032000
3 5000000 .0020182000
3 6000000 .0019588000
3 7000000 .0023294000
3 8000000 .0019254000
3 9000000 .0020762000
3 10000000 .0019444000
4 1000000 .0023892000
4 2000000 .0015402000
4 3000000 .0014780000
4 4000000 .0018060000
4 5000000 .0015196000
4 6000000 .0023262000
4 7000000 .0019160000
4 8000000 .0020838000
4 9000000 .0030740000
4 10000000 .0045544000
5 1000000 .0020726000
5 2000000 .0023238000
5 3000000 .0020078000
5 4000000 .0020482000
5 5000000 .0018324000
5 6000000 .0018836000
5 7000000 .0019256000
5 8000000 .0019206000
5 9000000 .0023746000
5 10000000 .0019046000
6 1000000 .0020404000
6 2000000 .0019204000
6 3000000 .0018292000
6 4000000 .0018638000
6 5000000 .0018338000
6 6000000 .0018798000
6 7000000 .0018598000
6 8000000 .0017994000
6 9000000 .0017458000
6 10000000 .0019146000
7 1000000 .0017312000
7 2000000 .0030696000
7 3000000 .0017840000
7 4000000 .0018318000
7 5000000 .0018270000
7 6000000 .0018384000
7 7000000 .0017956000
7 8000000 .0017194000
7 9000000 .0016714000
7 10000000 .0018138000
8 1000000 .0018158000
8 2000000 .0018936000
8 3000000 .0016366000
8 4000000 .0022972000
8 5000000 .0015988000
8 6000000 .0016070000
8 7000000 .0016662000
8 8000000 .0021790000
8 9000000 .0016238000
8 10000000 .0016960000
